Company Name,Industry,Symbol,Series,ISIN Code,Yahoo Symbol,Current Price (INR),1Y Return,Annualised Volatility,Maximum Drawdown,Price Observations,Price Start,Price End,Price Error,Trailing PE,Market Cap (INR),Market Cap (INR Crore),Yahoo Sector,Yahoo Industry,Currency,Fundamental Error,Fundamental As Of,Data Complete,Value Score,Momentum Score,Value Contribution,Momentum Contribution,Composite Score,Momentum Efficiency,Screen Result,Passed
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,GODREJCP.NS,1000.5999755859375,-0.1468904944485382,0.24247303517829957,-0.22896146862305067,250,2025-06-19,2026-06-19,,54.947834,1023858507776,102385.8507776,Consumer Defensive,Household & Personal Products,INR,,2026-06-19,True,27.083333333333332,17.708333333333336,12.1875,9.739583333333336,21.927083333333336,-0.6058013598935819,P/E above 30; 1Y return below 10%,False
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,GRASIM.NS,3149.5,0.1736808255718605,0.21485244171560244,-0.14452288524433243,250,2025-06-19,2026-06-19,,43.0436,2135905271808,213590.5271808,Basic Materials,Building Materials,INR,,2026-06-19,True,35.41666666666667,65.625,15.937500000000002,36.09375,52.03125,0.8083725936973976,P/E above 30,False
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,HAL.NS,4408.10009765625,-0.09028506948377202,0.2709880205306799,-0.29835403964998386,250,2025-06-19,2026-06-19,,32.367283,2948027121664,294802.7121664,Industrials,Aerospace & Defense,INR,,2026-06-19,True,50.0,22.916666666666664,22.5,12.604166666666666,35.104166666666664,-0.33316996562049284,P/E above 30; 1Y return below 10%,False
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,HCLTECH.NS,1131.699951171875,-0.3114128539580878,0.25649128065584303,-0.34618226063293955,250,2025-06-19,2026-06-19,,18.45865,3062116122624,306211.6122624,Technology,Information Technology Services,INR,,2026-06-19,True,71.875,5.208333333333334,32.34375,2.864583333333334,35.208333333333336,-1.2141264730785835,1Y return below 10%,False
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,HDFCAMC.NS,2719.0,0.13930101266322614,0.302518726418379,-0.24765783876039527,250,2025-06-19,2026-06-19,,40.90567,1165508214784,116550.8214784,Financial Services,Asset Management,INR,,2026-06-19,True,38.54166666666667,61.458333333333336,17.343750000000004,33.802083333333336,51.14583333333334,0.4604707097390555,P/E above 30,False
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,HDFCBANK.NS,779.7999877929688,-0.16972842980735214,0.19655747394982254,-0.2777668608718886,250,2025-06-19,2026-06-19,,17.398483,12007002603520,1200700.260352,Financial Services,Banks - Regional,INR,,2026-06-19,True,75.0,16.666666666666664,33.75,9.166666666666666,42.916666666666664,-0.8635053472994909,1Y return below 10%,False
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,HDFCLIFE.NS,591.8499755859375,-0.21821722597630433,0.21633126476782494,-0.330406498096262,250,2025-06-19,2026-06-19,,66.8757,1285459804160,128545.980416,Financial Services,Insurance - Life,INR,,2026-06-19,True,20.833333333333336,12.5,9.375000000000002,6.875000000000001,16.250000000000004,-1.0087179317816288,P/E above 30; 1Y return below 10%,False
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,HINDALCO.NS,1010.0,0.5863521016732303,0.2749805653562046,-0.17948346278432115,250,2025-06-19,2026-06-19,,16.771835,2258514739200,225851.47392,Basic Materials,Aluminum,INR,,2026-06-19,True,77.08333333333334,95.83333333333334,34.68750000000001,52.70833333333334,87.39583333333334,2.1323401561622397,Passed all filters,True
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,HINDUNILVR.NS,2194.60009765625,-0.025755309119092074,0.2062222987145281,-0.2318457099180946,250,2025-06-19,2026-06-19,,48.424538,5156413374464,515641.3374464,Consumer Defensive,Household & Personal Products,INR,,2026-06-19,True,33.33333333333333,33.33333333333333,14.999999999999998,18.333333333333332,33.33333333333333,-0.1248910000501204,P/E above 30; 1Y return below 10%,False
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,HINDZINC.NS,563.5499877929688,0.31179920607560097,0.3638575303247108,-0.3294141964433981,250,2025-06-19,2026-06-19,,17.21815,2381178470400,238117.84704,Basic Materials,Other Industrial Metals & Mining,INR,,2026-06-19,True,76.04166666666666,84.375,34.21875,46.40625000000001,80.625,0.8569266267413722,Passed all filters,True
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,HYUNDAI.NS,1973.199951171875,0.04418832561249553,0.3024306962604235,-0.39792831131739903,250,2025-06-19,2026-06-19,,29.477142,1603306127360,160330.612736,Consumer Cyclical,Auto Manufacturers,INR,,2026-06-19,True,53.125,45.83333333333333,23.90625,25.208333333333332,49.11458333333333,0.14611058387553655,1Y return below 10%,False
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,ICICIBANK.NS,1346.5,-0.03855338409958475,0.1837329202458534,-0.18365924078670637,250,2025-06-19,2026-06-19,,18.02061,9656754765824,965675.4765824,Financial Services,Banks - Regional,INR,,2026-06-19,True,72.91666666666666,30.208333333333332,32.8125,16.614583333333336,49.427083333333336,-0.20983383951006926,1Y return below 10%,False
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,INDHOTEL.NS,724.75,-0.02732345090644428,0.24608954932685678,-0.2923276885899736,250,2025-06-19,2026-06-19,,49.47099,1031632453632,103163.2453632,Consumer Cyclical,Lodging,INR,,2026-06-19,True,31.25,32.29166666666667,14.0625,17.76041666666667,31.82291666666667,-0.11103052113014844,P/E above 30; 1Y return below 10%,False
